2020-11-20 15:59:35.284 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2020-11-20 15:59:35.286 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-20 15:59:35.286 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-20 15:59:35.290 [main] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-11-20 15:59:35.290 [main] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-11-20 15:59:35.290 [main] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-11-20 15:59:35.295 [main] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-11-20 15:59:35.727 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-20 15:59:35.727 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3009 ms
2020-11-20 15:59:37.442 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 15:59:37.442 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 15:59:37.453 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 15:59:37.454 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 15:59:37.737 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 15:59:39.735 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-20 15:59:40.004 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2020-11-20 15:59:40.040 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8004 (http) with context path ''
2020-11-20 15:59:41.386 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-20 15:59:41.396 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-20 15:59:41.420 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-20 15:59:41.437 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-20 15:59:41.467 [main] INFO  com.soft1851.Application - Started Application in 13.439 seconds (JVM running for 15.086)
2020-11-20 16:01:52.252 [http-nio-8004-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-20 16:01:52.252 [http-nio-8004-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-20 16:01:52.266 [http-nio-8004-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2020-11-20 16:01:52.711 [http-nio-8004-exec-1] INFO  c.s.controller.FileUploadController - path=group1/M00/00/00/J2H8PF-3d-6AdslnAABGjouKyU4904.jpg
2020-11-20 16:01:52.711 [http-nio-8004-exec-1] INFO  c.s.controller.FileUploadController - http://39.97.252.60:8888/group1/M00/00/00/J2H8PF-3d-6AdslnAABGjouKyU4904.jpg
2020-11-20 16:01:52.711 [http-nio-8004-exec-1] INFO  c.s.controller.FileUploadController - 看看是否进入doAliImageReview方法中来
2020-11-20 16:01:52.712 [http-nio-8004-exec-1] INFO  c.s.controller.FileUploadController - http://39.97.252.60:8888/group1/M00/00/00/J2H8PF-3d-6AdslnAABGjouKyU4904.jpg>>>>>>>>>>>>>>>>>>>>>>>>>>
2020-11-20 16:08:20.010 [http-nio-8004-exec-6] INFO  c.s.controller.FileUploadController - path=group1/M00/00/00/J2H8PF-3eXGAZLOzAACpqRxp-EU020.jpg
2020-11-20 16:08:20.010 [http-nio-8004-exec-6] INFO  c.s.controller.FileUploadController - http://39.97.252.60:8888/group1/M00/00/00/J2H8PF-3eXGAZLOzAACpqRxp-EU020.jpg
2020-11-20 16:08:20.010 [http-nio-8004-exec-6] INFO  c.s.controller.FileUploadController - 看看是否进入doAliImageReview方法中来
2020-11-20 16:08:20.010 [http-nio-8004-exec-6] INFO  c.s.controller.FileUploadController - http://39.97.252.60:8888/group1/M00/00/00/J2H8PF-3eXGAZLOzAACpqRxp-EU020.jpg>>>>>>>>>>>>>>>>>>>>>>>>>>
2020-11-20 17:08:40.026 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-11-20 17:08:40.737 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2020-11-20 17:08:42.251 [main] INFO  com.soft1851.Application - The following profiles are active: dev
2020-11-20 17:08:43.766 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-20 17:08:43.770 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-20 17:08:43.825 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32ms. Found 0 Redis repository interfaces.
2020-11-20 17:08:44.184 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=0bfaecec-ef64-3cf2-8706-6f87047b9118
2020-11-20 17:08:44.930 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8004 (http)
2020-11-20 17:08:44.945 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2020-11-20 17:08:44.945 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-20 17:08:44.946 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-20 17:08:44.949 [main] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-11-20 17:08:44.949 [main] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-11-20 17:08:44.950 [main] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-11-20 17:08:44.967 [main] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-11-20 17:08:45.316 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-20 17:08:45.316 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3040 ms
2020-11-20 17:08:46.797 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 17:08:46.797 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 17:08:46.804 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 17:08:46.805 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 17:08:47.088 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 17:08:48.885 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-20 17:08:49.196 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2020-11-20 17:08:49.236 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8004 (http) with context path ''
2020-11-20 17:08:50.574 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-20 17:08:50.585 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-20 17:08:50.613 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-20 17:08:50.631 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-20 17:08:50.666 [main] INFO  com.soft1851.Application - Started Application in 12.99 seconds (JVM running for 14.702)
