2020-11-20 14:53:16.846 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1803 ms
2020-11-20 14:53:18.089 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 14:53:18.090 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 14:53:18.093 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 14:53:18.094 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 14:53:18.248 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 14:53:19.369 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2020-11-20 14:53:19.396 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8004 (http) with context path ''
2020-11-20 14:53:20.043 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-20 14:53:20.057 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-20 14:53:20.069 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-20 14:53:20.205 [main] INFO  com.soft1851.files.Application - Started Application in 7.994 seconds (JVM running for 9.768)
2020-11-20 15:01:00.559 [http-nio-8004-exec-6] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-20 15:01:00.560 [http-nio-8004-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-20 15:01:00.571 [http-nio-8004-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2020-11-20 15:01:00.657 [http-nio-8004-exec-6] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.files.service.impl.UploadServiceImpl.uploadFdfs ===
2020-11-20 15:01:00.985 [http-nio-8004-exec-6] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 328
2020-11-20 15:01:00.985 [http-nio-8004-exec-6] INFO  c.s.f.c.FileUploadController - path = group1/M00/00/00/ecRpxl-3aayACzHHABUd7GxjA3k719.jpg
2020-11-20 15:01:00.985 [http-nio-8004-exec-6] INFO  c.s.f.c.FileUploadController - http://fastdfs.zhj.ntt1914866205.xyz/group1/M00/00/00/ecRpxl-3aayACzHHABUd7GxjA3k719.jpg
2020-11-20 15:01:37.609 [http-nio-8004-exec-4] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.files.service.impl.UploadServiceImpl.uploadFdfs ===
2020-11-20 15:01:37.730 [http-nio-8004-exec-4] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 121
2020-11-20 15:01:37.730 [http-nio-8004-exec-4] INFO  c.s.f.c.FileUploadController - path = group1/M00/00/00/ecRpxl-3adGAUbWUAACm_7QsQe4347.jpg
2020-11-20 15:01:37.730 [http-nio-8004-exec-4] INFO  c.s.f.c.FileUploadController - http://fastdfs.zhj.ntt1914866205.xyz/group1/M00/00/00/ecRpxl-3adGAUbWUAACm_7QsQe4347.jpg
2020-11-20 15:03:04.018 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-11-20 15:03:04.594 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2020-11-20 15:03:05.518 [main] INFO  com.soft1851.files.Application - The following profiles are active: dev
2020-11-20 15:03:06.743 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-20 15:03:06.746 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-20 15:03:06.792 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22ms. Found 0 Redis repository interfaces.
2020-11-20 15:03:07.099 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9f5bb500-774f-31a5-b8ca-dd1fa246791a
2020-11-20 15:03:07.711 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8004 (http)
2020-11-20 15:03:07.730 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2020-11-20 15:03:07.731 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-20 15:03:07.731 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-20 15:03:08.001 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-20 15:03:08.001 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2452 ms
2020-11-20 15:03:09.549 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 15:03:09.550 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 15:03:09.555 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 15:03:09.555 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 15:03:09.749 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 15:03:11.006 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2020-11-20 15:03:11.030 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8004 (http) with context path ''
2020-11-20 15:03:11.802 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-20 15:03:11.820 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-20 15:03:11.838 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-20 15:03:11.986 [main] INFO  com.soft1851.files.Application - Started Application in 9.314 seconds (JVM running for 11.249)
2020-11-20 15:03:43.719 [http-nio-8004-exec-5] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-20 15:03:43.719 [http-nio-8004-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-20 15:03:43.731 [http-nio-8004-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2020-11-20 15:03:43.799 [http-nio-8004-exec-5] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.files.service.impl.UploadServiceImpl.uploadFdfs ===
2020-11-20 15:03:43.996 [http-nio-8004-exec-5] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 196
2020-11-20 15:03:43.997 [http-nio-8004-exec-5] INFO  c.s.f.c.FileUploadController - path = group1/M00/00/00/ecRpxl-3ak-AX1xhAACm_7QsQe4805.jpg
2020-11-20 15:03:43.997 [http-nio-8004-exec-5] INFO  c.s.f.c.FileUploadController - http://fastdfs.zhj.ntt1914866205.xyz/group1/M00/00/00/ecRpxl-3ak-AX1xhAACm_7QsQe4805.jpg
2020-11-20 15:12:20.190 [http-nio-8004-exec-4] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.files.service.impl.UploadServiceImpl.uploadFdfs ===
2020-11-20 15:12:20.383 [http-nio-8004-exec-4] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 193
2020-11-20 15:12:20.383 [http-nio-8004-exec-4] INFO  c.s.f.c.FileUploadController - path = group1/M00/00/00/ecRpxl-3bFOARzweAACm_7QsQe4973.jpg
2020-11-20 15:12:20.383 [http-nio-8004-exec-4] INFO  c.s.f.c.FileUploadController - http://fastdfs.zhj.ntt1914866205.xyz/group1/M00/00/00/ecRpxl-3bFOARzweAACm_7QsQe4973.jpg
2020-11-20 15:24:20.552 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-11-20 15:24:21.083 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2020-11-20 15:24:21.853 [main] INFO  com.soft1851.files.Application - The following profiles are active: dev
2020-11-20 15:24:22.800 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-20 15:24:22.803 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-20 15:24:22.828 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11ms. Found 0 Redis repository interfaces.
2020-11-20 15:24:23.031 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9f5bb500-774f-31a5-b8ca-dd1fa246791a
2020-11-20 15:24:23.497 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8004 (http)
2020-11-20 15:24:23.509 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2020-11-20 15:24:23.509 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-20 15:24:23.509 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
